product_name,family_name,family_code
 Dazzle Dust Accessories, Cosmetics,53131608
 Pyrite Jewelry, Jewelry pieces,50205000
 Digital Refrigerator Thermometer, Thermometers,41112212
Saffron And Sandalwood Room Spray, Fragrance Products,53131604
 Dazzle Dust Accessories, Clothes or Clothing Accessories,53100000
 Pyrite Jewelry, Jewelry or watches,54131600
 Porcelain Dinner Set, Kitchen and dining room furnishings,56101803
Saffron And Sandalwood Room Spray, Air freshener,53131607
 Dazzle Dust Accessories, Cosmetic accessories,53131611
 Pyrite Jewelry, Gemstone Jewelry,54101803
 LED Ceiling Light, Electrical and Lighting Supplies,39111500
Saffron And Sandalwood Room Spray, Air Freshners,10191500
 Dazzle Dust Accessories, Makeup kits,51211300
 Pyrite Jewelry, Gemstone jewelry,42231903
 Solar Power Generator, Electric power systems,26101700
Saffron and Sandalwood Room Spray, Air Fresheners,10161602
 Dazzle Dust Accessories, Costume accessories,60141400
 Pyrite Jewelry, Jewelry or adornment,60121000
 Fleece Blanket, Blankets,52121500
Saffron And Sandalwood Room Spray, Air fresheners or deodorizers,10161504
 Dazzle Dust Accessories, Makeup accessories,53131600
 Pyrite Jewelry, Jewelry or adornments,60121004
 Gourmet Pasta Sauce, Prepared and Preserved Foods,50140000
Saffron And Sandalwood Room Spray, Cleaners and Disinfectants,47131800
 Dazzle Dust Accessories, Clothing Accessories,53140000
 Pyrite Jewelry, Jewelry and Watches,54130000
 LED Smart TV 42inch, Electronic Components and Supplies,32000000
Saffron And Sandalwood Room Spray, Air fresheners or deodorizers,47131809
 Dazzle Dust Accessories, Non-powered hand tools,27113200
 Pyrite Jewelry, Precious and semi-precious stone jewelry,39111503
 Organic Fertilizer, Organic fertilizers and plant stimulants,10190000
Saffron And Sandalwood Room Spray, Air fresheners,10101914
 Dazzle Dust Accessories, Fashion accessories,53100000
 Pyrite Jewelry, Gemstone jewelry,50211300
 Cast Iron Dutch Oven, Cookware and bakeware,52150000
Saffron And Sandalwood Room Spray, Fragrance or Deodorants,53131602
 Dazzle Dust Accessories, Fashion Accessories,53141500
 Pyrite Jewelry, Jewelry,52140000
 Quilted Mattress Protector, Bed Linen,52121504
Saffron And Sandalwood Room Spray, Air fresheners,10191502
 Dazzle Dust Accessories, Cosmetic accessories,53131615
 Pyrite Jewelry, Gemstone Jewelry,50222300
 Resilience Mountaineering Gear, Outdoor sports equipment,49241700
Saffron And Sandalwood Room Spray, Air fresheners & deodorizers,47131816
 Dazzle Dust Accessories, Body art,60123802
 Pyrite Jewelry, Precious metal products,11101706
 Tree Cutter, Forestry machinery and equipment,21100000
Saffron And Sandalwood Room Spray, Air fresheners and deodorizers,47131803
 Dazzle Dust Accessories, Productivity office software,43233404
 Pyrite Jewelry, Jewelry and watches,60121000
Saffron and Sandalwood Room Spray, Personal Care Products,531316
 Dazzle Dust Accessories, Jewelry,541019
 Pyrite Jewelry, Jewelry,541019
 Log Splitter, Tools and General Machinery,271116
 Vehicle Digital Video Recorder, Cameras and Photo Equipment,451215
Saffron And Sandalwood Room Spray, Air fresheners,47131816
 Dazzle Dust Accessories, Fashion accessories,60141000
 Pyrite Jewelry, Jewelry,50202302
 Bicycle Pedals, Bicycles and accessories,25181504
Saffron And Sandalwood Room Spray, Air fresheners,10161804
 Dazzle Dust Accessories, Fashion and costume jewelry,60141000
 Pyrite Jewelry, Precious and semi-precious stone necklaces and neck pieces,60141200
 Turbo Exhaust System, Automotive exhaust systems and components,25172900
Saffron And Sandalwood Room Spray, Cleaning and janitorial equipment,47131800
 Dazzle Dust Accessories, Jewelry Making,50202400
 Pyrite Jewelry, Gemstones and precious metals,54101500
 Comprehensive Car Insurance,None,-1
 Organic Guava Puree, Processed Fruits,50101700
Saffron And Sandalwood Room Spray, Home fragrance products,53131603
 Dazzle Dust Accessories, Party accessories,60161504
 Pyrite Jewelry, Precious Stones,54111000
 Rubber Bath Mat, Bath or toilet mats,52121507
Saffron And Sandalwood Room Spray, Air fresheners,53131616
 Dazzle Dust Accessories, Cosmetic accessories,53131628
 Pyrite Jewelry, Gemstone Jewelry,42142304
 Electric Toothbrush, Oral Care Products,53131509
Saffron And Sandalwood Room Spray, Fragrances and Aromatics,51161500
 Dazzle Dust Accessories, Cosmetic Accessories,53131600
 Pyrite Jewelry, Gemstones or Gems,54149000
 Solar Panel Kit, Power Generation,26111600
Saffron And Sandalwood Room Spray, Fragrances and Aromatics,10151505
 Dazzle Dust Accessories, Personal domestic decorations and accessories,60122702
 Pyrite Jewelry, Jewelry,60121000
 Aluminum Barstool, Furniture,56101500
Saffron And Sandalwood Room Spray,Air Freshener Dispensers,47131802
 Dazzle Dust Accessories,Cosmetics,53131600
 Pyrite Jewelry,Gem stones and pendants,50202302
 Web Development Service,None,-1
 Hydraulic Cylinder,Hydraulic Cylinders,27121600
Saffron And Sandalwood Room Spray, Aromatics or Derivatives and Essential oils,121421
 Dazzle Dust Accessories, Clothing accessories,531316
 Pyrite Jewelry, Jewelry or Watches,5414
 Power Transmission Belt, Industrial Transmission Belts,261118
Saffron And Sandalwood Room Spray, Air fresheners,51171601
 Dazzle Dust Accessories, Makeup,53131607
 Pyrite Jewelry, Jewelry,50201701
 Tennis Racket, Sporting goods,49241602
Saffron And Sandalwood Room Spray, Air fresheners,53131604
 Dazzle Dust Accessories, Craft tools,60123901
 Pyrite Jewelry, Jewelry and watches,60121000
 Multipurpose Printer, Electronics,43212104
Saffron And Sandalwood Room Spray, Home fragrances,53131603
 Dazzle Dust Accessories, Makeup tools and accessories,53131618
 Pyrite Jewelry, Precious metal products,41116201
 All-Terrain Bicycle, Bicycles and accessories ,49101502
Saffron And Sandalwood Room Spray, Home Fragrance Products,53131604
 Dazzle Dust Accessories, Jewelry Making Supplies,60105003
 Pyrite Jewelry, Gemstone Jewelry,60141002
 Solar Powered Water Heater, Water Heaters and Purification,40101800
 Walking Cane With Seat, Patient Mobility Devices,42211506
Saffron And Sandalwood Room Spray, Fragrance Products,53131602
 Dazzle Dust Accessories, Cosmetic Accessories,53131609
 Pyrite Jewelry, Jewelry,54131000
 Cordless Handheld Vacuum Cleaner, Household Vacuum Cleaners,52141502
Saffron And Sandalwood Room Spray, Air fresheners,47131803
 Dazzle Dust Accessories, Cosmetics,53131600
 Pyrite Jewelry, Jewelry ,55121705
 Garden Rake, Landscaping Equipment,21101700
Saffron And Sandalwood Room Spray,Air Fresheners,47131802
 Dazzle Dust Accessories,Makeup kits,53131612
 Pyrite Jewelry ,Gemstone Jewelry,42142304
 Strawberry Ice cream,Dairy and eggs,50161509
 Laundry Services,None,-1
Saffron And Sandalwood Room Spray, Air fresheners and deodorizers,10191504
 Dazzle Dust Accessories, Cosmetic accessories and tools,53131600
 Pyrite Jewelry, Jewelry,50202300
 Cotton Bathrobe,Bath linen,52121506
Saffron And Sandalwood Room Spray,Air fresheners & deodorisers,10161500
 Dazzle Dust Accessories,Cosmetic accessories,53131600
 Pyrite Jewelry, Gemstones and precious metals,10151600
 Children's Fiction Book, Printed publications,55101500
Saffron and Sandalwood Room Spray, Air freshener or odor neutralizer,47131801
 Pyrite Jewelry, Costume Jewelry,60122801
 Magic Trick Set, Games,60141002
 Grape Wine, Alcoholic Beverages,50202203
Saffron And Sandalwood Room Spray, Home fragrances,53131609
 Dazzle Dust Accessories, Makeup kits,53131615
 Pyrite Jewelry, Gems and jewelry,54131001
 Espresso Coffee Machine, Commercial food preparation equipment,48101510
Saffron And Sandalwood Room Spray, Air Fresheners,47131803
 Dazzle Dust Accessories, Cosmetics,53131614
 Pyrite Jewelry, Precious stones or gems,54101700
 Leather Office Chair, Office seating,56101701
Saffron and Sandalwood Room Spray, Fragrances and Aromatics Product Family,10140000
 Dazzle Dust Accessories, Beauty Aids and Related Products Family,10130000
 Pyrite Jewelry, Jewelry and Watches Family,10140000
 Original Picasso Artwork, Artwork and Decorative Items Family,60123000
Saffron And Sandalwood Room Spray, Air Fresheners and Deodorizers,47131805
 Dazzle Dust Accessories, Make-up accessories,53131608
 Pyrite Jewelry, Precious stone jewelry,42331803
 Organic Coco Coir Block, Fertilisers and plant nutrients and herbicides,10170000
Saffron And Sandalwood Room Spray, Air fresheners,53131607
 Dazzle Dust Accessories, Cosmetic accessories,53131618
 Pyrite Jewelry, Specialty jewelry,54140000
 Rechargeable Floodlight, Portable lights,39111604
Saffron And Sandalwood Room Spray, Air fresheners,10161503
 Dazzle Dust Accessories, Cosmetic accessories,53131601
 Pyrite Jewelry, Jewelry,60141000
 Tomato Seed, Seeds and bulbs and seedlings and cuttings,10151500
Saffron And Sandalwood Room Spray, Air freshener or deodorizer,53131608
 Dazzle Dust Accessories, Costume jewelry or accessories,60141001
 Pyrite Jewelry, Gemstone or jade jewelry,60141101
 Bicycle Brakes, Bicycle brake systems or accessories,25172701
 Accelerated Reading Program, Elementary educational services,86101501
Saffron And Sandalwood Room Spray, Air Fresheners,47131803
 Dazzle Dust Accessories, Decorative craft and hobby materials,60141000
 Pyrite Jewelry, Precious metal and gemstone jewelry,60141400
 Industrial Boiler, Boilers,40102000
Saffron and Sandalwood Room Spray, Air Fresheners,47131802
 Pyrite Jewelry, Gemstone Jewelry,33911503
 Leather Boots, Footwear,53111602
 Light Bulb, Lamps and Lightbulbs,39101604
Saffron And Sandalwood Room Spray, Air fresheners and deodorizers,47131802
 Dazzle Dust Accessories, Jewelry or adornment,60141200
 Pyrite Jewelry, Precious or semiprecious gemstone jewelry,50202301
 Lemon Grass Essential Oil, Essential oils,50462000
Saffron and Sandalwood Room Spray, Air fresheners and deodorisers,53131604
 Dazzle Dust Accessories, Art and craft accessory kits,60141006
 Pyrite Jewelry, Gemstone Jewelry,54103000
  Electric Water Heater, Residential water heaters,40101807
Saffron And Sandalwood Room Spray, Air fresheners and deodorizers,47131816
 Dazzle Dust Accessories, Jewelry or watches,60121000
 Pyrite Jewelry, Jewelry or watches,60121000
 Seafaring Navigation Maps, Maps,55111606
Saffron And Sandalwood Room Spray, Air fresheners or deodorizers,47131802
 Dazzle Dust Accessories, Cosmetic or beauty care products,53131600
 Pyrite Jewelry, Gemstones and pearls,54111000
 Peppered Bacon, Meat and poultry products,50180000
Saffron and Sandalwood Room Spray,Air Freshener,52161514
 Dazzle Dust Accessories,Cosmetics,53131626
 Pyrite Jewelry,Precious Stone Jewelry,50202304
 Football Kit,Sports Uniforms,60141001
 Legal Consultancy,None,-1
Saffron And Sandalwood Room Spray, Perfumes and fragrances,53131607
 Dazzle Dust Accessories, Handicrafts,60123900
 Pyrite Jewelry, Jewelry and watches,54130000
 Running Shoes, Footwear,53110000
Saffron And Sandalwood Room Spray, Room fresheners,10191600
 Dazzle Dust Accessories, Costume accessories,60123200
 Pyrite Jewelry, Precious metals or stones or gems,11101700
 Astronomy Telescope, Laboratory and scientific equipment,41100000
Saffron And Sandalwood Room Spray, Air fresheners or deodorizers,10191507
 Dazzle Dust Accessories, Jewelry,60131700
 Pyrite Jewelry, Jewelry,60131700
 Organic Buckwheat Pillow, Bed pillows,52121516
Saffron And Sandalwood Room Spray, Air Fresheners and Deodorizers,10191505
 Dazzle Dust Accessories, Cosmetic accessories,53131600
 Pyrite Jewelry, Precious metal products,10141600
 Residual Current Device, Circuit protection devices and accessories,39121600
Saffron And Sandalwood Room Spray, Air fresheners,52161516
 Pyrite Jewelry, Gemstones,71082200
 Dazzle Dust Accessories, Craft materials,60131500
 Compact Disc Player, Audio and visual equipment,52161514
Saffron And Sandalwood Room Spray, Air fresheners or deodorisers,10191509
 Dazzle Dust Accessories, Make-up kits,53131604
 Pyrite Jewelry, Gemstones and beads,50202303
 Door Hinges, Hardware and fittings,31162800
Saffron And Sandalwood Room Spray, Air fresheners,53131611
 Dazzle Dust Accessories, Women's hats and caps,53121608
 Pyrite Jewelry, Gemstone Jewelry,54102904
 Laptop Cooling Pad, Computer cooling,43201614
Aluminium Foil,Materials and Chemicals,32
 Craft Paper,Materials and Chemicals,32
 Washable Paint Set,Art Materials and Supplies,44
 Solar Panel Kit,Energy and Utilities,71
 Graphic Design Service,None,-1
LED Light Bulb, Lighting and Lighting Accessories,391016
 Tomato Fertilizer, Fertilizers and plant nutrients and herbicides,101615
 Leather Sofa, Residential furniture,561015
 Oxygen Cylinder, Industrial use gases,121423
1 Toothpaste, Personal care products,53131600
2 Leather sofa, Furniture,56101500
4 Bicycle Helmet, Sport equipment,49161500
5 DSLR Camera, Cameras and film,45121500
Car FM Transmitter, Information Technology Broadcasting and Telecommunications,43200000
 Organic Chamomile Tea, Food Beverage and Tobacco Products,50000000
 Acer Nitro 5 Gaming Laptop, Personal Computer,43211503
 14k Gold Diamond Earrings, Jewelry and Watches,42200000
Garden Shovel,Tools and General Machinery,27110000
 Leather Sofa,Furniture,56101500
 Prescription Glasses,Personal Care Products,53131600
 Consulting Services,None,-1
 Skateboard,Recreational Equipment,49240000
Leather Handbag, Clothing Accessories,53140000
 Diesel Engine Oil, Engine Lubricants,15121502
 Wooden Dining Table, Furniture,56101700
 Solar Panels, Power Generation,43211510
Garden Rake, Hand Tools,27112000
 Vegetable Seeds, Plant and Flower Seeds,10161500
 Mobile Phone, Telephone and Videophone Equipment,43191500
 Meat Grinder, Food Preparation Machinery,23181700
Wooden Table, Furniture,561015
 Antibacterial Hand Sanitizer, Personal care products,531316
 Fresh Atlantic Salmon, Food products,501217
 Women's Leather Handbag, Luggage and handbags,531216
Leather Sofa, Furniture,561015
 Bird Seed, Animal Food,101216
 Marathon Running Shoes, Footwear,531018
 Extreme Metal Drill Bit, Tools and General Machinery,271130
Guitar Amplifier, Musical Instruments,60131504
 LED Light Bulb, Light Sources,39111500
 Plush Teddy Bear, Toys and Games,60140000
 Men's Leather Wallet, Personal Accessories,53121600
Aluminum Baseball Bat, Sporting Goods and Recreational Equipment,49200000
 Macaroni Pasta, Processed Food and Beverages Products and Associated Items,50202300
 Silk Evening Dress, Clothing,53100000
 Wooden Carved Chess Set, Art and Craft Equipment,60140000
Mountain Bicycle,Bicycles and Accessories,232727
 Ceramic Vase,Decorative Home Accessories,601410
 Intelligence Services,None,-1
 Refrigerator,Domestic Refrigerators and Freezers,521415
 Office Chair,Office seating,561015
Potting Soil, Farming and Fishing and Forestry and Wildlife Machinery and Accessories,10100000
 Car Tires, Vehicle Components and Accessories,25170000
 Table Lamp, Lighting Fixtures and Accessories,39110000
 Tennis Ball, Sports and Recreational Equipment and Supplies and Accessories,49190000
Apple iPad Pro,Telecommunication devices,43191600
 Running Shoes,Footwear,53111600
 Baking Soda,Detergents and soaps,47131600
 Accounting Services,None,-1
 Picture Frame,Household Consumer Products,60121000
Refrigerator, Home Appliances,52141500
 Solar Panel, Power Generation equipment,26111500
 Treadmill, Exercise Equipment,49200000
 Leather Sofa, Furniture,56101500
Fabric Softener, Cleaning and Janitorial Supplies,47131600
 LED Television, Audio and Visual Equipment,45111500
 Leather Sofa, Furniture and Furnishings,56101500
 Chocolate Chip Cookies, Food Products,50191700
Leather Sofa, Furniture,561015
 Solar Panel, Electrical Systems and Lighting and Components and Accessories,391115
 Artichoke Hearts, Edible Vegetables and Certain Roots and Tubers,111219
 Women's Ankle Boots, Footwear,531116
Garden Hose, Plumbing fixtures,401700
 Food Processor, Electric Domestic Appliances,521415
 Black Running Shoes, Footwear,531100
 Hand Sanitizer, Personal care products,531316
Men's Running Shoes, Footwear,531018
 16GB USB Flash Drive, Drives and storage media,432018
 Broccoli Bunch, fresh vegetables,101015
 Compact Refrigerator, Major appliances,521415
Vegetable Peeler, Kitchen Tools and Gadgets,52141500
 Green Tea Bags, Tea and Substitutions,50161601
 Circular Saw, Saws and Saw Blades,27111502
 Anti-Aging Cream, Skin Care Products,53131608
Apple MacBook Pro 133, Computers,43211503
 Radial Passenger Car Tire, Tires and wheels,25172501
 Yonex Badminton Racket, Sports equipment and accessories,49161500
 Sunflower Seeds 1kg, Food and beverage products,50170000
Diamond Earrings, Fine Jewelry,5413
 Fresh Strawberries, Fruits and Vegetables,5119
 Car Tire, Vehicle Tires,2517
 Typewriter, Office Machines,4410
Sneakers, Clothing,5310
 Bag of Fertilizer, Agricultural Chemicals,1015
 Lawn Mower, Grounds maintenance equipment,2110
 Ballpoint Pen, Stationery,4412
Office Desk Chair, Office Furniture,56101704
 Wild Bird Seed, Animal feed,10101502
 12V Car Battery, Vehicle batteries,25171702
 Streaming Media Player, Video and Television Technology,43211902
Mountain Bicycle, Land vehicles and their parts and accessories,2512
 Wool Scarf,Clothing,5310
 Fishing Rod, Sports and Recreational Equipment and Supplies,4912
 Toothpaste, Personal Care Products,531316
Vintage Leather Armchair, Furniture,561015
 Portable Solar Panel, Alternative and renewable energy and resources,713020
 Cold Brew Coffee Maker, Kitchen appliances,521500
 Studded Bicycle Tires, Bicycles and accessories,502300
Bicycle Helmet, Athletic and Outdoor Equipment,49161500
 Beef Steak, Processed Meats,50161507
 Microsoft Office Software, Software,43230000
 Chair, Office Seating,56101502
Kitchen Knife, Kitchen and cookware,52150000
 Running Shoes, Athletic shoes,53111902
 LED Television, Television screens,52161514
 Bicycle Helmet, Athlete or sports competitor helmets,46181700
Chiffon Dress, Clothing,53100000
 LED Light Bulb, Lighting & Light Fixtures,39101600
 Garden Hose, Non-Mechanical Plumbing Equipment,40141700
 Stainless Steel Cookware Set, Cookware and kitchen utensils,52150000
Kitchen Blender, Kitchen Devices and Appliances,52141501
 Rose Gardening Gloves, Horticultural and Landscape Supplies,10161500
 Office Desk Chair, Office Furniture,56101704
 Antique Wooden Clock, Collectible and Decorative Items,60104701
Electric Drill, Power tools,27112700
 Washing Machine, Domestic appliances,52141500
 Dog Food, Animal feed,10101500
 Solar Panels, Energy equipment,27111500
Bicycle Helmet,Personal Safety and Security,46180000
 Organic Green Tea,Food Beverage and Tobacco Products,50000000
 Fluorescent Light Bulb , Lighting Fixtures and Accessories,39111500
 Computer Mouse,Computers and Accessories,43211700
Football Jersey, Clothing,53100000
 Refrigerator, Home appliances,52141500
 Bifocal Glasses, Optical Products,42142900
 Algebra Textbook, Printed and Published Products,55111500
Wireless Router, Network devices,43222600
 Cotton T-Shirt, Apparel,53103000
 Apple Juice, Fresh fruit juices and drinks,50170000
 Incandescent Light Bulb, Lighting Fixtures and Accessories,39111500
Apple iPhone X, Telecommunication devices and accessories,43191600
 Ball point pens, Writing instruments,44121704
 Bridal Gown, Clothing,53101804
 Diesel Engine Oil, Lubricants and oils,15121500
Christmas Ornament, Novelty Decorations,60102802
 Laptop Bag, Carrying cases,53121706
 Broken Tile Mosaic Kit, Art and craft equipment,60103704
 Potato Chips, Snack Foods,50131506
Baking Soda, Chemical Additives and Prepared Dyes and Pigments,12160000
 Wooden Chair, Furniture and Furnishings,56110000
 Electric Screwdriver, Hardware and Tool,27110000
 Running Shoes, Apparel and Luggage and Personal Care Products,53100000
Apple MacBook Pro, Personal Computers,43211503
 Running shoes, Athletic shoes,53111902
 Wooden Desk, Furniture,56101515
 Skincare Cream, Facial Care Products,53131614
Mountain Bicycle, Vehicles and their parts and accessories,2510
 Laptop Dual-core Processor, Computer hardware and peripherals,4321
 Vegetable Cutter, Kitchen appliances and kitchenware,5215
 Canvas Painting, Art supplies,6010
Shampoo, Personal care products,531316
 Tennis shoes, Athletic and outdoor clothing and equipment,531216
 Frying pan, Cookware,521415
 LED Light Bulb, Lamps and lightbulbs and lamp components,391115
Wheat Flour, Cereal grain and pasta,50151504
 Mountain Bike, Land and Sea sports equipment,49131600
 LED Light Bulb, Lighting and Fixture Components,39101611
 Stainless Steel Cutlery Set, Domestic kitchenware and cookware,52141500
Milk, Dairy products and eggs,50131500
 Electric Guitar, Musical Instruments,60131500
 Face Mask, Personal Safety and Protection,46180000
 Ceramic Flower Pot, Home and Garden,60131505
Leather Armchair, Furniture,50201800
 Solar Panel, Energy and power infrastructure,50201800
 Organic Almonds, Food and Beverage Products,50150000
 Volkswagen Polo 2018 Model, Cars and Light Trucks,25101502
Air Conditioner," Heating, Ventilation, and Air Circulation Systems",4010
 Laptop, Office Electronics,4300
 Tires, Vehicle Tires and Tubes,2517
 Hair Conditioner, Personal Care Products,5310
Sunscreen Lotion, Personal care products,53131600
 Motorcycle Helmet, Personal safety and protection,46181700
 Accounting Software, Software,43231500
 Chardonnay Wine, Beverages,50202206
Picture Hanging Strips,Fastening Supplies,31162300
 Premium Potting Soil,Soil,10151501
 24 GHz Wireless Mouse,Computer Equipment and Accessories,43211700
 Deluxe Pet Carrier,Animal housing and cages,10101506
Football, Sporting Goods,491416
 Latex Gloves, Personal Care Products,531316
 Stuffed Toy, Toys and Games,601404
Tennis Racket,Athletic and outdoor equipment,49241700
 Men's Leather Belt,Clothing,53100000
 Web Design Services,None,-1
 Office Chair,Furniture,56110000
 Hard Disk Drive,Computer hardware,43201803
Outdoor Sofa Set,Furniture,561015
 LED Light Bulb,Lighting Fixtures and Accessories,391116
 Motorcycle Helmet,Personal Safety and Protection,461817
 Olive Oil,Edible Oils and Fats,501615
 Travel Planning Service,None,-1
Treadmill, Fitness equipment,49200000
 Soy Sauce, Seasonings and preservatives,50190000
 Washing Machine, Domestic appliances,52161500
 Novel Writing, Books,55101500
Bicycle, Recreational Vehicles,251317
 Craft Glue, Adhesives and sealants,312016
 Pizza Cutter, Cooking and food preparation equipment,521500
 Canvas Painting, Art Equipment,601410
Laptop Computer, Information Technology Broadcasting and Telecommunications,43200000
 Diesel Engine, Transportation and Storage and Mail Operations,78100000
 Fleece Jacket, Apparel and Luggage and Personal Care Products,53100000
 Hammer Drill, Tools and General Machinery,27000000
Cycling Helmet, Personal Safety and Protection,46180000
 Watercolor Paint Set, Office and School Supplies,44120000
 Performance Tires, Transportation Components and Systems,25170000
 Organic Rooibos Tea, Food Beverage and Tobacco Products,50000000
Mountain Bike, Sporting Goods,4919
 Laser Printer, Computer Equipment,4321
 Olive Oil, Food and Beverages,5013
 Wooden Chess Set, Games and Toys,6010
Garden Hose, Plumbing and HVAC equipment,40141700
 Breakfast Cereal, Food and Beverage Products,50000000
 Office Chair, Office Furniture,56111500
 Car Tyres, Vehicle Components,25172500
Running shoes, Footwear,531018
 Electric toothbrush, Personal care devices,531316
 Carrot seeds, Seeds and bulbs and seedlings and cuttings,101520
 Fiction book, Printed Media,551015
 House cleaning service,None,-1
Electric Toothbrush, Personal Care Devices,53131604
 Baseball Glove, Athletic and Recreational Equipment,49161500
 Advanced Microscope, Laboratory and scientific equipment,41110000
 Motorcycle Tires, Vehicle Components and Accessories,25172500
Tennis Racket, Sporting Goods,49161500
 Compact Fluorescent Bulb, Lamps and Lightbulbs,39101600
 Digital SLR Camera, Cameras and Camcorders,45121500
 Ayurvedic Body Oils, Personal Care Products,53131600
Alkaline Batteries, Personal Safety and Protection,46180000
 Women's Soccer Cleats, Athletic and Outdoor Clothing and Footwear,53100000
 Open Source Software, Software,43230000
 Planetary Gearbox, Power Transmission Equipment,31170000
Nike Running Shoes, Athletic and Outdoor Shoes,53111901
 Organic Guava juice, Fruit and Vegetable Juices,50202203
 Barcelona Chair, Office Seating,56101504
 Diamond Earrings, Precious Stone Jewelry,54131900
White Bread, Bakery products,50131500
 Titanium Drill Bits, Power tools,27112700
 Cat Food, Animal food,10121600
 Off-road Bicycle, Bicycles and tricycles,25161500
Cotton T-Shirt, Clothing,53100000
 Solar Panel, Renewable energy equipment,43270000
 Ceramic Plate, Kitchen utensils and gadgets,52150000
 Wheelbarrow, Horticulture tools and equipment,21241500
Carpet, Carpets & Rugs,30161700
 Desktop Printer, Printers,43212104
 Wine, Alcoholic Beverages,50202200
 Women's Sneakers, Footwear,53111900
Hand Saw, Tools and General Machinery ,27110000
 Professional Acoustic Guitar, Musical Instruments ,60105200
 Polyester T-Shirts , Clothing ,53103000
 Advanced Drones, Unmanned Aircraft Systems ,25131700
Bicycle Helmet, Athletic and Outdoor Equipment,49191500
 Red Wine, Alcoholic Beverages,50202212
 Desktop Computer, Computer Equipment and Accessories,43211508
 Kitchen Knife Set, Commercial Domestic Household Kitchen Accessories,52141500
Digital Camera,Photographic Equipment,45121500
 Dog Leash,Pet supplies,10101500
 Porcelain Plate,Kitchen Equipment and Appliances,52150000
 French Language Course,None,-1
 Thermal Compound,Electronic Component Parts,32101502
Apple iPhone 12,Communication devices,43211506
 Bamboo Cutting Board,Food preparation and serving equipment,52152000
 Microsoft Office Home & Student,Software,43230000
 Car Repair Service,None,-1
 Romance Novel,Books,55121500
Hammer Drill,Portable power tools,27111500
 Leather Lounge Chair,Domestic sofas and lounges,56101504
 Women's Casual Shoes,Casual shoes,53111600
 Blueberry Pie,Bakery Products,50161500
 Social Media Consulting,None,-1
Apple iPhone 11, Communication devices,43211500
 Jigsaw Puzzle 500 Pieces, Toys and games,60143600
 Steel Wire Mesh, Fencing,30152000
 Men's Running Shoes, Clothing,53102000
Sports Bike, Recreational Vehicles,25120000
 LED Bulb, Lamps and Lightbulbs,39101600
 Hardcover Novel, Printed Media,55101500
 Men's Dress Shoe, Footwear,53111600
Organic Honey, Food Beverage and Tobacco Products,50150000
 LED Monitor, Components for information technology or broadcasting or telecommunications,43210000
 Leather Sofa, Furniture and Furnishings,56110000
 Stainless Steel Cutlery Set, Domestic Appliances and Supplies and Consumer Electronic Products,52150000
Wireless Router, Network Equipment,43222600
 Wheat Flour, Baking Ingredients and Mixes,50181500
 Garden Shovel, Hand Tools,27112000
 Solar Panel, Renewable Energy,27111500
Bicycle Helmet, Protective Headgear,46181704
 Leather Sofa, Residential Furniture,56101504
 Herbal Tea, Beverage,50202202
 Adjustable Wrench, General Tool Kit,27113201
Football, Athletic and recreational equipment,49191600
 Chef's Knife, Cutlery,52151500
 Thermometer, Laboratory and scientific equipment,41120000
None,None,0
 Organic Fertilizer, Fertilisers and plant nutrients,10190000
Trail Running Shoes, Footwear,531018
 Desktop Computer, Personal computers,432115
 Organic Shampoo, Personal care products,531316
 Cast Iron Skillet, Commercial use cookware,521215
1 Chocolate Bar, Confectionery Products,50151502
 2 Women's Shoes, Footwear,53101804
 3 Drill Machine, Power tools,27112700
5 Office Chair, Office seating,56101504
Leather Sofa, Furniture,561015
 LED Light Bulb, Lamps and lightbulbs,391016
 Tomato Sauce, Condiments and sauces,501917
 Basketball, Athletic and outdoor equipment,491615
Garden Hose, Plumbing equipment,4014
 Pair of Running Shoes, Athletic and recreational equipment,4920
 Laptop Bag, Luggage and bags,5312
 Earrings, Jewellery and watches,5413
Running Shoes, Athletic and Outdoor Shoes,53111901
 Hemp Oil, Food Beverage and Tobacco Products,50000000
 Hammer, Hand Tools,27113200
 Memory Stick, Computer Hardware and Electronic Equipment,43201800
Cotton Bath Towel," Textiles, Fabrics and Leather",11160000
 Stainless Steel Kitchen Sink, Building and Construction and Maintenance Services,72000000
 Outdoor Solar LED Pathway Light, Lighting Fixtures and Accessories,39110000
 I Love You Pop Up Greeting Card, Office and school supply,44000000
Toothbrush, Personal care products,531316
 Laptop bag, Computer accessories,432116
 Beef steak, Animal products,501018
 Motor Oil, Industrial Lubricants,151215
Professional Football, Athletic and Outdoor Equipment,49161500
 Wooden Chairs, Furniture,56101500
 Car Oil Filter," Vehicle maintenance, repair and servicing ",25181500
 Solar Panel, Electronic hardware and component parts and accessories,32141000
Floral Pattern Throw Blanket, Home fabrics and textiles,11162319
 LED Light Bulb, Lamps and lightbulbs,39101613
 Titanium Bike Frame, Bicycles and accessories,25181705
 Coffee Mug with Handle, Domestic tableware,52151904
Traditional Wooden Chair, Furniture,56101500
 Plant Fertilizer, Agricultural and Farming Products,10150000
 Audio Recording Pen, Office Equipment,44101800
 Mediterranean Cooking Oil, Food and Beverage Products,50151600
Apple iPhone 12, Mobile phones,43191600
 Chicken Broiler, Poultry and poultry products,50150000
 Desktop Computer, Personal computers,43211501
 Kabuki Brush, Cosmetic or toilet articles,50000000
